Date,Campaign,Impressions,Clicks,Cost,Conversions,Revenue,CTR,CPC,Conversion_Rate,ROAS
2025-01-06,TechFlow_Brand_Search,27213,1242,8003.51,73,9165.44,4.56,6.44,5.88,1.15
2025-01-06,TechFlow_Product_Keywords,29920,1334,8846.45,98,10912.49,4.46,6.63,7.35,1.23
2025-01-06,TechFlow_Competitor_Keywords,28881,789,4963.45,44,4588.38,2.73,6.29,5.58,0.92
2025-01-06,TechFlow_Display_Network,7582,128,809.54,5,314.37,1.69,6.32,3.91,0.39
2025-01-06,TechFlow_YouTube_Video,12802,144,994.29,7,783.1,1.12,6.9,4.86,0.79
2025-01-07,TechFlow_Brand_Search,6606,140,770.72,5,869.37,2.12,5.51,3.57,1.13
2025-01-07,TechFlow_Product_Keywords,48435,1672,8183.58,86,10189.94,3.45,4.89,5.14,1.25
2025-01-07,TechFlow_Competitor_Keywords,9049,276,1355.05,13,1718.9,3.05,4.91,4.71,1.27
2025-01-07,TechFlow_Display_Network,7783,380,1385.71,19,2104.5,4.88,3.65,5.0,1.52
2025-01-07,TechFlow_YouTube_Video,46316,1357,10472.06,72,12600.44,2.93,7.72,5.31,1.2
2025-01-08,TechFlow_Brand_Search,21883,521,2459.58,35,6270.03,2.38,4.72,6.72,2.55
2025-01-08,TechFlow_Product_Keywords,35101,1032,5583.32,31,4597.79,2.94,5.41,3.0,0.82
2025-01-08,TechFlow_Competitor_Keywords,6696,145,1009.74,3,367.73,2.17,6.96,2.07,0.36
2025-01-08,TechFlow_Display_Network,8507,131,629.13,3,193.09,1.54,4.8,2.29,0.31
2025-01-08,TechFlow_YouTube_Video,22063,972,7110.54,51,3429.1,4.41,7.32,5.25,0.48
2025-01-09,TechFlow_Brand_Search,13158,182,807.93,11,1943.04,1.38,4.44,6.04,2.4
2025-01-09,TechFlow_Product_Keywords,45536,1606,7561.33,87,13452.15,3.53,4.71,5.42,1.78
2025-01-09,TechFlow_Competitor_Keywords,39158,1207,4987.64,77,9695.69,3.08,4.13,6.38,1.94
2025-01-09,TechFlow_Display_Network,10306,239,616.84,16,1751.14,2.32,2.58,6.69,2.84
2025-01-09,TechFlow_YouTube_Video,6610,158,609.82,3,408.39,2.39,3.86,1.9,0.67
2025-01-10,TechFlow_Brand_Search,28854,347,1723.76,22,1902.76,1.2,4.97,6.34,1.1
2025-01-10,TechFlow_Product_Keywords,41249,2044,9245.08,57,7094.31,4.96,4.52,2.79,0.77
2025-01-10,TechFlow_Competitor_Keywords,25978,1232,5653.16,57,7004.39,4.74,4.59,4.63,1.24
2025-01-10,TechFlow_Display_Network,23632,642,4797.46,22,1834.59,2.72,7.47,3.43,0.38
2025-01-10,TechFlow_YouTube_Video,1596,45,154.0,3,338.09,2.82,3.42,6.67,2.2
2025-01-11,TechFlow_Brand_Search,39646,1589,4411.49,80,10926.43,4.01,2.78,5.03,2.48
2025-01-11,TechFlow_Product_Keywords,27140,572,3089.31,14,2455.26,2.11,5.4,2.45,0.79
2025-01-11,TechFlow_Competitor_Keywords,5227,250,1195.14,17,1117.21,4.78,4.78,6.8,0.93
2025-01-11,TechFlow_Display_Network,39732,666,2044.14,36,6817.09,1.68,3.07,5.41,3.33
2025-01-11,TechFlow_YouTube_Video,1049,43,335.73,3,507.31,4.1,7.81,6.98,1.51
2025-01-12,TechFlow_Brand_Search,23807,302,2392.14,7,526.62,1.27,7.92,2.32,0.22
2025-01-12,TechFlow_Product_Keywords,31003,788,2242.05,30,2073.18,2.54,2.85,3.81,0.92
2025-01-12,TechFlow_Competitor_Keywords,42120,1399,6965.25,88,4702.15,3.32,4.98,6.29,0.68
2025-01-12,TechFlow_Display_Network,43518,1720,9501.35,84,16583.66,3.95,5.52,4.88,1.75
2025-01-12,TechFlow_YouTube_Video,26221,583,2650.69,12,921.53,2.22,4.55,2.06,0.35
2025-01-13,TechFlow_Brand_Search,2811,91,706.2,4,290.16,3.24,7.76,4.4,0.41
2025-01-13,TechFlow_Product_Keywords,14996,202,1027.69,7,482.44,1.35,5.09,3.47,0.47
2025-01-13,TechFlow_Competitor_Keywords,45091,1788,6512.53,51,3867.93,3.97,3.64,2.85,0.59
2025-01-13,TechFlow_Display_Network,6018,291,973.73,9,489.83,4.84,3.35,3.09,0.5
2025-01-13,TechFlow_YouTube_Video,2039,92,455.79,6,635.89,4.51,4.95,6.52,1.4
2025-01-14,TechFlow_Brand_Search,1163,28,70.15,2,215.4,2.41,2.51,7.14,3.07
2025-01-14,TechFlow_Product_Keywords,9657,454,1995.2,32,5451.95,4.7,4.39,7.05,2.73
2025-01-14,TechFlow_Competitor_Keywords,43813,1881,5599.37,91,5757.32,4.29,2.98,4.84,1.03
2025-01-14,TechFlow_Display_Network,3578,95,389.85,1,149.18,2.66,4.1,1.05,0.38
2025-01-14,TechFlow_YouTube_Video,6117,99,296.49,2,333.16,1.62,2.99,2.02,1.12
2025-01-15,TechFlow_Brand_Search,40468,1727,6560.97,51,2922.52,4.27,3.8,2.95,0.45
2025-01-15,TechFlow_Product_Keywords,39647,433,2935.77,32,3219.48,1.09,6.78,7.39,1.1
2025-01-15,TechFlow_Competitor_Keywords,48400,1574,5062.97,98,17673.48,3.25,3.22,6.23,3.49
2025-01-15,TechFlow_Display_Network,23300,1084,8220.98,41,5051.29,4.65,7.58,3.78,0.61
2025-01-15,TechFlow_YouTube_Video,3728,107,372.4,4,435.63,2.87,3.48,3.74,1.17
2025-01-16,TechFlow_Brand_Search,22710,613,3990.43,47,7817.42,2.7,6.51,7.67,1.96
2025-01-16,TechFlow_Product_Keywords,25363,602,1809.59,17,1729.46,2.37,3.01,2.82,0.96
2025-01-16,TechFlow_Competitor_Keywords,8283,202,576.17,7,1247.42,2.44,2.85,3.47,2.17
2025-01-16,TechFlow_Display_Network,16385,198,730.77,5,318.65,1.21,3.69,2.53,0.44
2025-01-16,TechFlow_YouTube_Video,35685,925,5179.91,63,8038.29,2.59,5.6,6.81,1.55
2025-01-17,TechFlow_Brand_Search,17795,334,1858.58,8,619.39,1.88,5.56,2.4,0.33
2025-01-17,TechFlow_Product_Keywords,44219,603,2027.87,23,4447.02,1.36,3.36,3.81,2.19
2025-01-17,TechFlow_Competitor_Keywords,28996,1149,6869.08,38,3514.49,3.96,5.98,3.31,0.51
2025-01-17,TechFlow_Display_Network,1361,65,504.4,3,509.56,4.78,7.76,4.62,1.01
2025-01-17,TechFlow_YouTube_Video,20060,731,5457.74,37,5100.72,3.64,7.47,5.06,0.93
2025-01-18,TechFlow_Brand_Search,38344,1623,11462.33,83,14564.38,4.23,7.06,5.11,1.27
2025-01-18,TechFlow_Product_Keywords,6680,142,1036.97,6,1044.16,2.13,7.3,4.23,1.01
2025-01-18,TechFlow_Competitor_Keywords,3321,128,794.97,5,584.39,3.85,6.21,3.91,0.74
2025-01-18,TechFlow_Display_Network,32885,1550,8131.66,123,7772.36,4.71,5.25,7.94,0.96
2025-01-18,TechFlow_YouTube_Video,48270,681,4867.89,49,6409.91,1.41,7.15,7.2,1.32
2025-01-19,TechFlow_Brand_Search,42706,2113,6818.56,78,5583.92,4.95,3.23,3.69,0.82
2025-01-19,TechFlow_Product_Keywords,22172,473,3490.69,32,5152.09,2.13,7.38,6.77,1.48
2025-01-19,TechFlow_Competitor_Keywords,2896,45,170.5,2,224.04,1.55,3.79,4.44,1.31
2025-01-19,TechFlow_Display_Network,37412,1376,5796.17,101,18466.24,3.68,4.21,7.34,3.19
2025-01-19,TechFlow_YouTube_Video,47457,2006,9873.55,122,24259.56,4.23,4.92,6.08,2.46
2025-01-20,TechFlow_Brand_Search,28161,334,1887.27,11,1167.55,1.19,5.65,3.29,0.62
2025-01-20,TechFlow_Product_Keywords,43124,781,3891.2,41,7655.88,1.81,4.98,5.25,1.97
2025-01-20,TechFlow_Competitor_Keywords,32911,1145,7463.47,62,8766.45,3.48,6.52,5.41,1.17
2025-01-20,TechFlow_Display_Network,20962,281,2010.62,13,1311.29,1.34,7.16,4.63,0.65
2025-01-20,TechFlow_YouTube_Video,27013,1190,5900.38,48,7426.4,4.41,4.96,4.03,1.26
2025-01-21,TechFlow_Brand_Search,8226,317,939.88,7,1160.33,3.85,2.96,2.21,1.23
2025-01-21,TechFlow_Product_Keywords,41764,939,4147.45,41,4098.55,2.25,4.42,4.37,0.99
2025-01-21,TechFlow_Competitor_Keywords,44945,937,4077.35,25,4594.18,2.08,4.35,2.67,1.13
2025-01-21,TechFlow_Display_Network,15723,586,3496.02,36,5494.83,3.73,5.97,6.14,1.57
2025-01-21,TechFlow_YouTube_Video,14973,287,2021.87,10,937.35,1.92,7.04,3.48,0.46
2025-01-22,TechFlow_Brand_Search,49121,1141,5099.21,79,6799.2,2.32,4.47,6.92,1.33
2025-01-22,TechFlow_Product_Keywords,40708,847,6206.97,43,4558.42,2.08,7.33,5.08,0.73
2025-01-22,TechFlow_Competitor_Keywords,41194,670,3229.51,40,7492.83,1.63,4.82,5.97,2.32
2025-01-22,TechFlow_Display_Network,30937,647,3425.89,39,2362.13,2.09,5.3,6.03,0.69
2025-01-22,TechFlow_YouTube_Video,39930,1756,8733.66,104,15202.94,4.4,4.97,5.92,1.74
2025-01-23,TechFlow_Brand_Search,4196,80,417.92,4,256.46,1.91,5.22,5.0,0.61
