campaign_name,date,impressions,clicks,spend,leads
B2B Outreach,2024-05-01,7000,350,900,12
Webinar Promo,2024-05-02,6000,300,800,10
Recruitment,2024-05-03,4000,200,500,7
Branding,2024-05-04,9000,400,1000,15
Lead Gen,2024-05-05,8000,370,950,13
Event Boost,2024-05-06,7500,360,920,12
Content Push,2024-05-07,7200,340,910,11
Awareness,2024-05-08,9500,410,1050,16
Engagement,2024-05-09,8200,380,970,14
Q2 Drive,2024-05-10,8800,390,990,15
Brand Surge,2024-05-11,9300,420,1080,17
Lead Magnet,2024-05-12,9700,430,1120,18
Conversion Max,2024-05-13,9900,440,1150,19
Spring Connect,2024-05-14,10100,450,1170,20
Summer Launch,2024-05-15,10300,460,1190,21
Recruitment Pro,2024-05-16,10500,470,1210,22
Webinar Surge,2024-05-17,10700,480,1230,23
Brand Pro,2024-05-18,10900,490,1250,24
Engage More,2024-05-19,11100,500,1270,25
Lead Surge,2024-05-20,11300,510,1290,26 
