platform,campaign_or_account,date,metric_1,metric_2,metric_3,metric_4,metric_5
Google Ads,Brand Awareness,2024-05-01,12000,1200,1500,30,
Google Ads,Spring Sale,2024-05-02,8000,900,1100,22,
Google Ads,Retargeting,2024-05-03,5000,600,700,15,
Google Ads,Product Launch,2024-05-04,15000,1800,2000,40,
Google Ads,Holiday Promo,2024-05-05,11000,1000,1300,25,
Google Ads,Summer Sale,2024-05-06,9000,950,1200,20,
Google Ads,Remarketing,2024-05-07,6000,700,800,16,
Google Ads,Lead Gen,2024-05-08,13000,1400,1600,35,
Google Ads,Brand Push,2024-05-09,10000,1100,1250,28,
Google Ads,Awareness Plus,2024-05-10,14000,1500,1700,38,
Google Ads,Conversion Max,2024-05-11,7000,800,900,18,
Google Ads,Click Surge,2024-05-12,8000,850,1000,19,
Google Ads,Engage More,2024-05-13,9500,1000,1100,21,
Google Ads,Spring Boost,2024-05-14,10500,1200,1350,27,
Google Ads,Q2 Launch,2024-05-15,11500,1300,1450,29,
Google Ads,Brand Surge,2024-05-16,12500,1350,1550,32,
Google Ads,Awareness Pro,2024-05-17,13500,1450,1650,36,
Google Ads,Lead Magnet,2024-05-18,14500,1550,1750,39,
Google Ads,Conversion Drive,2024-05-19,15500,1650,1850,41,
Google Ads,Summer Push,2024-05-20,16500,1750,1950,44,
LinkedIn Ads,B2B Outreach,2024-05-01,7000,350,900,12,
LinkedIn Ads,Webinar Promo,2024-05-02,6000,300,800,10,
LinkedIn Ads,Recruitment,2024-05-03,4000,200,500,7,
LinkedIn Ads,Branding,2024-05-04,9000,400,1000,15,
LinkedIn Ads,Lead Gen,2024-05-05,8000,370,950,13,
LinkedIn Ads,Event Boost,2024-05-06,7500,360,920,12,
LinkedIn Ads,Content Push,2024-05-07,7200,340,910,11,
LinkedIn Ads,Awareness,2024-05-08,9500,410,1050,16,
LinkedIn Ads,Engagement,2024-05-09,8200,380,970,14,
LinkedIn Ads,Q2 Drive,2024-05-10,8800,390,990,15,
LinkedIn Ads,Brand Surge,2024-05-11,9300,420,1080,17,
LinkedIn Ads,Lead Magnet,2024-05-12,9700,430,1120,18,
LinkedIn Ads,Conversion Max,2024-05-13,9900,440,1150,19,
LinkedIn Ads,Spring Connect,2024-05-14,10100,450,1170,20,
LinkedIn Ads,Summer Launch,2024-05-15,10300,460,1190,21,
